Campaign_Name,Clicks,Payout
Myntra,179022,423602.6
Microsoft [CPS] IN US APAC,178288,36147.74
Microsoft [CPS] IN US APAC,170690,28934.82
Nike [CPS] APAC,165846,17214.44
Flipkart,159841,149551.13
Microsoft [CPS] IN US APAC,156635,27109.07
Nike [CPS] APAC,144284,7390.31
Microsoft [CPS] IN US APAC,142239,31837.06
Microsoft [CPS] IN US APAC,142062,26843.52
Walmart Affiliate Program,139781,4840.54
Udemy WW,133586,84860.65
DHgate,130824,3094.44
Udemy WW,123945,78472.6
Udemy WW,122240,97608.52
Nike [CPS] APAC,121166,24043.41
Adobe Many GEOs,120882,402486.2325
DHgate,119375,3646.61
Microsoft [CPS] IN US APAC,118528,26068.12
Udemy WW,118232,81785.78
Adobe Many GEOs,111841,314137.3538
Nike [CPS] APAC,110209,7778.09
Nike [CPS] APAC,100543,15050.49
Udemy WW,99168,48488.2
Nike [CPS] APAC,95277,7083.07
Adobe Many GEOs,93997,421083.135
Udemy WW,92762,77061.8
Flipkart [CPS] IN,80335,134579.55
Adobe Many GEOs,67086,516202.98
Flipkart,66311,172384.46
Trainline WW,64542,31936.86
Trainline WW,61456,23912.23
Trainline WW,58576,29275.15
Trainline WW,52976,32562.77
Trainline WW,49241,20075.03
DHgate,47001,1032.96
Aliexpress.com CPS - Worldwide,45814,76310.48
Adobe Many GEOs,45810,131627.1
Flipkart [CPS] IN,43172,109645.04
Udemy WW,41243,50122.88
Adobe Many GEOs,40765,444835.03
Udemy WW,39249,15183.9
Ancestry US CA UK AU DE,38085,9908.83
Adobe Many GEOs,34727,239446.845
Udemy WW,34506,15403.84
Myntra [CPS] IN,34270,19888.76
Myntra [CPS] IN,34227,17305.71
Samsung [CPS] IN,33736,31726.1
Ajio [CPS] IN,31679,4627.85
Samsung [CPS] IN,31063,5533.21
Adobe Many GEOs,29406,230001.5025
